Date,Turtle,Loc_ID,Profile_ID,Size_ID,R_ID,Cap_ID,Pit_ID
8/14/2004,105.005,2,45,489,9,2,115124650A
7/11/2004,106.001,2,4,490,231,4,115125561A
6/14/1997,107.001,5,15,491,232,7,115125796A
8/2/2000,107.002,16,11,492,233,6,115125796A
6/9/2002,107.003,5,11,493,234,6,115125796A
9/15/2002,107.004,2,2,494,235,2,115125796A
5/4/2003,107.005,50,22,495,9,6,115125796A
7/19/2003,107.006,2,2,496,236,6,115125796A
9/21/2003,107.007,2,2,497,9,6,115125796A
6/13/2004,107.008,2,2,498,9,6,115125796A
6/25/2004,107.009,2,2,499,9,5,115125796A
7/18/2006,107.01,4,8,500,14,6,115125796A
6/30/1997,108.001,5,60,501,69,7,11512609A?
9/19/2004,109.001,63,23,502,237,12,115126644A
6/22/2011,109.002,6,2,503,35,6,115126644A
7/13/2011,109.003,15,2,504,36,6,115126644A
7/22/2013,109.004,64,11,505,17,6,115126644A
7/23/2014,109.005,21,11,506,43,14,115126644A
8/25/2015,109.006,5,8,507,14,6,115126644A
8/24/2004,110.001,2,49,508,238,3,115127185A
6/15/1997,111.001,5,27,509,69,7,115127332A
9/28/2002,111.002,2,40,510,239,2,115127332A
8/27/2003,111.003,2,45,511,240,5,115127332A
7/22/2013,111.004,64,5,512,17,6,115127332A
7/8/2015,111.006,5,5,513,91,6,115127332A
6/13/1997,112.005,5,4,514,241,7,115128651A
6/2/1996,113.001,16,5,515,242,7,115129696A
